tournament,toCd,date,division,event,format,round,playerA,playerAId,teamA,playerB,playerBId,teamB,gamesA,gamesB,winner
제14회 대한체육회장배 전국 스쿼시 선수권 대회 / 대한체육회 공인대회,201802,2018-04-26,GU11 P,개인전,토너먼트,준결승경기１,나주영,201602006877,,이종혁,201803007682,,3,0,A
제14회 대한체육회장배 전국 스쿼시 선수권 대회 / 대한체육회 공인대회,201802,2018-04-26,GU11 P,개인전,토너먼트,준결승경기２,유정욱,201603018160,,오서진,201605004663,,0,3,B
제14회 대한체육회장배 전국 스쿼시 선수권 대회 / 대한체육회 공인대회,201802,2018-04-26,GU11 P,개인전,토너먼트,결승,나주영,201602006877,,오서진,201605004663,,0,3,B
제14회 대한체육회장배 전국 스쿼시 선수권 대회 / 대한체육회 공인대회,201802,2018-04-26,남자 12세이하부,개인전,토너먼트,예선경기４,이지석,201703004879,,한종수,201503002226,,1,3,B
제14회 대한체육회장배 전국 스쿼시 선수권 대회 / 대한체육회 공인대회,201802,2018-04-26,남자 12세이하부,개인전,토너먼트,예선경기６,박준하,201302011134,,김지환,201303020397,,0,3,B
제14회 대한체육회장배 전국 스쿼시 선수권 대회 / 대한체육회 공인대회,201802,2018-04-26,남자 12세이하부,개인전,토너먼트,예선경기１２,박승민,201702006829,,이시훈,201603006399,,3,0,A
제14회 대한체육회장배 전국 스쿼시 선수권 대회 / 대한체육회 공인대회,201802,2018-04-26,남자 12세이하부,개인전,토너먼트,예선경기１４,최현우,201703014575,,권숙빈,201802004973,,3,0,A
제14회 대한체육회장배 전국 스쿼시 선수권 대회 / 대한체육회 공인대회,201802,2018-04-26,남자 12세이하부,개인전,토너먼트,예선경기１５,김승현,201403012359,,우정,201602011179,,3,1,A
제14회 대한체육회장배 전국 스쿼시 선수권 대회 / 대한체육회 공인대회,201802,2018-04-26,남자 12세이하부,개인전,토너먼트,준준준결승경기１,탁효진,201104003468,,이민우,201407000924,,2,3,B
제14회 대한체육회장배 전국 스쿼시 선수권 대회 / 대한체육회 공인대회,201802,2018-04-26,남자 12세이하부,개인전,토너먼트,준준준결승경기２,강우석,201302005902,,한종수,201503002226,,3,0,A
제14회 대한체육회장배 전국 스쿼시 선수권 대회 / 대한체육회 공인대회,201802,2018-04-26,남자 12세이하부,개인전,토너먼트,준준준결승경기３,심규영,201504001319,,김지환,201303020397,,2,3,B
제14회 대한체육회장배 전국 스쿼시 선수권 대회 / 대한체육회 공인대회,201802,2018-04-26,남자 12세이하부,개인전,토너먼트,준준준결승경기４,유정민,201505003438,,유민석,201708001690,,3,0,A
제14회 대한체육회장배 전국 스쿼시 선수권 대회 / 대한체육회 공인대회,201802,2018-04-26,남자 12세이하부,개인전,토너먼트,준준준결승경기５,김정연,201702006885,,박태하,201602011173,,1,3,B
제14회 대한체육회장배 전국 스쿼시 선수권 대회 / 대한체육회 공인대회,201802,2018-04-26,남자 12세이하부,개인전,토너먼트,준준준결승경기６,NAM ZACHARIAS HONG SHIK,201804002451,,박승민,201702006829,,2,3,B
제14회 대한체육회장배 전국 스쿼시 선수권 대회 / 대한체육회 공인대회,201802,2018-04-26,남자 12세이하부,개인전,토너먼트,준준준결승경기７,김석진,201203009405,,최현우,201703014575,,3,0,A
제14회 대한체육회장배 전국 스쿼시 선수권 대회 / 대한체육회 공인대회,201802,2018-04-26,남자 12세이하부,개인전,토너먼트,준준준결승경기８,김승현,201403012359,,박시형,201702007823,,3,0,A
제14회 대한체육회장배 전국 스쿼시 선수권 대회 / 대한체육회 공인대회,201802,2018-04-26,남자 12세이하부,단체전,리그전,1R / A조,와룡고등학교,,,인천 대건고등학교,,,2,1,A
제14회 대한체육회장배 전국 스쿼시 선수권 대회 / 대한체육회 공인대회,201802,2018-04-26,여자 15세이하부,개인전,토너먼트,예선경기２,유한서,201704001245,,이상훈,200809000849,,0,0,B
제14회 대한체육회장배 전국 스쿼시 선수권 대회 / 대한체육회 공인대회,201802,2018-04-26,여자 15세이하부,개인전,토너먼트,예선경기４,강현범,201302006321,,김진성,201402005833,,3,0,A
제14회 대한체육회장배 전국 스쿼시 선수권 대회 / 대한체육회 공인대회,201802,2018-04-26,여자 15세이하부,개인전,토너먼트,예선경기７,길재호,201104010290,,이승렬,201402005516,,3,0,A
제14회 대한체육회장배 전국 스쿼시 선수권 대회 / 대한체육회 공인대회,201802,2018-04-26,여자 15세이하부,개인전,토너먼트,예선경기９,조영훈,200905003169,,김태현,201302005947,,3,0,A
제14회 대한체육회장배 전국 스쿼시 선수권 대회 / 대한체육회 공인대회,201802,2018-04-26,여자 15세이하부,개인전,토너먼트,예선경기１０,신헌수,201308001590,,김성집,200707000159,,0,3,B
제14회 대한체육회장배 전국 스쿼시 선수권 대회 / 대한체육회 공인대회,201802,2018-04-26,여자 15세이하부,개인전,토너먼트,예선경기１３,원준호,201104000840,,임재현,201402001427,,2,3,B
제14회 대한체육회장배 전국 스쿼시 선수권 대회 / 대한체육회 공인대회,201802,2018-04-26,여자 15세이하부,개인전,토너먼트,예선경기１５,문석호,201402009240,,구성진,201302009824,,2,3,B
제14회 대한체육회장배 전국 스쿼시 선수권 대회 / 대한체육회 공인대회,201802,2018-04-26,여자 15세이하부,개인전,토너먼트,준준준결승경기１,박성찬,201006002472,,이상훈,200809000849,,3,0,A
제14회 대한체육회장배 전국 스쿼시 선수권 대회 / 대한체육회 공인대회,201802,2018-04-26,여자 15세이하부,개인전,토너먼트,준준준결승경기２,한승호,201402009248,,강현범,201302006321,,0,3,B
제14회 대한체육회장배 전국 스쿼시 선수권 대회 / 대한체육회 공인대회,201802,2018-04-26,여자 15세이하부,개인전,토너먼트,준준준결승경기３,이태규,201003009114,,김정원,201302011502,,0,3,B
제14회 대한체육회장배 전국 스쿼시 선수권 대회 / 대한체육회 공인대회,201802,2018-04-26,여자 15세이하부,개인전,토너먼트,준준준결승경기４,길재호,201104010290,,유덕재,201104000837,,0,3,B
제14회 대한체육회장배 전국 스쿼시 선수권 대회 / 대한체육회 공인대회,201802,2018-04-26,여자 15세이하부,개인전,토너먼트,준준준결승경기５,조영훈,200905003169,,김성집,200707000159,,3,1,A
제14회 대한체육회장배 전국 스쿼시 선수권 대회 / 대한체육회 공인대회,201802,2018-04-26,여자 15세이하부,개인전,토너먼트,준준준결승경기６,탁형진,201012000985,,이시형,201402004962,,3,1,A
